food_id,food_name,food_type,meal_id,serving_weight,serving_weight_unit,serving_volume,serving_volume_unit,serving_qty,serving_qty_unit,serving_summary,nutrition_calories_kj,nutrition_fat_g_total,nutrition_fat_g_trans,nutrition_fat_g_sat,nutrition_fat_g_other,nutrition_carb_g_total,nutrition_carb_g_not_fibre,nutrition_carb_g_sugar,nutrition_carb_g_fibre,nutrition_carb_g_other,nutrition_protein_g,nutrition_potassium,nutrition_sodium
food_id INTEGER,food_name TEXT,food_type TEXT,meal_id INTEGER,serving_weight INTEGER,serving_weight_unit TEXT,serving_volume REAL,serving_volume_unit TEXT,serving_qty INTEGER,serving_qty_unit TEXT,serving_summary TEXT,nutrition_calories_kj INTEGER,nutrition_fat_g_total REAL,nutrition_fat_g_trans REAL,nutrition_fat_g_sat REAL,nutrition_fat_g_other REAL,nutrition_carb_g_total REAL,nutrition_carb_g_not_fibre REAL,nutrition_carb_g_sugar REAL,nutrition_carb_g_fibre REAL,nutrition_carb_g_other REAL,nutrition_protein_g REAL,nutrition_potassium INTEGER,nutrition_sodium INTEGER
170,"rice and eggs minus romaine","meal",16,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice and eggs minus romaine",-1,16,-1,-1
171,"pnut rice cake2","meal",17,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"pnut rice cake2",-1,17,-1,-1
172,"home fries",-1,-1,-1,-1,-1,-1,1,"pieces","1pieces",400,25,-1,-1,-1,50,50,50,0,-1,0,76,1
173,"louies turkey omelete","meal",18,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"louies turkey omelete",-1,18,-1,-1
174,"1% milk lactate free",-1,-1,-1,-1,1,"cup",-1,-1,"1cup/",110,3,-1,-1,-1,14,14,13,-1,-1,8,380,125
175,"breakfast risoto","meal",20,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"breakfast risoto",-1,20,-1,-1
176,"pnut rice cake quick","meal",19,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"pnut rice cake quick",-1,19,-1,-1
177,"rice cake and cheese","meal",21,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice cake and cheese",-1,21,-1,-1
178,"rice cake and pnut butter","meal",22,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"rice cake and pnut butter",-1,22,-1,-1
179,"pnut rice cake3","meal",23,-1,-1,-1,-1,1,"pieces","1pieces","Err:502","",-1,-1,-1,"","",-1,"pnut rice cake3",-1,23,-1,-1
